datetime,open_price,high_price,low_price,close_price,volume,buy_volume,transactions,buy_transactions,long_short_ratio,long_liquidation,short_liquidation,open_predicted_funding_rate,high_predicted_funding_rate,low_predicted_funding_rate,close_predicted_funding_rate,open_funding_rate,high_funding_rate,low_funding_rate,close_funding_rate,open_open_interest,high_open_interest,low_open_interest,close_open_interest,volume_delta,cumulative_volume_delta,transaction_delta,cumulative_transaction_delta,liquidation_delta,cumulative_liquidation_delta
2019-11-04,9197.86,9550.0,9126.01,9395.46,90433.35699997174,45855.15699999561,167623,85858.0,,,,,,,,,,,,,,,,1276.95700001948,106478.88900028939,4093.0,71089.0,,
2019-11-05,9395.47,9457.13,9164.33,9313.2,113738.22599997546,55746.2519999974,186238,90112.0,,,,,,,,,,,,,,,,-2245.721999980655,104233.16700030873,-6014.0,65075.0,,
2019-11-06,9313.1,9450.0,9259.48,9343.6,73767.91099998608,36712.80700000058,132554,65771.0,,,,,,,,,,,,,,,,-342.2969999849156,103890.87000032382,-1012.0,64063.0,,
2019-11-07,9344.29,9381.93,9091.2,9219.64,77389.56899998793,37470.370999999075,127810,62550.0,,,,,,,,,,,,,,,,-2448.826999989775,101442.04300033404,-2710.0,61353.0,,
2019-11-08,9221.63,9259.3,8669.85,8775.03,151848.70099996997,72767.49399999084,234756,115438.0,,,,,,,,,,,,,,,,-6313.712999988289,95128.33000034576,-3880.0,57473.0,,
2019-11-09,8775.6,8878.0,8727.0,8811.15,66846.39199996782,33155.84100000232,135706,68708.0,,,,,,,,,,,,,,,,-534.7099999631755,94593.62000038258,1710.0,59183.0,,
2019-11-10,8811.3,9187.0,8760.0,9041.31,91099.1969999583,46128.499999997766,175504,87911.0,,,,,,,,,,,,,,,,1157.8030000372382,95751.42300041982,318.0,59501.0,,
2019-11-11,9041.31,9072.91,8611.11,8728.93,113373.7619999297,54699.88199999439,227245,111828.0,,,,,,,,,,,,,,,,-3973.997999940926,91777.42500047889,-3589.0,55912.0,,
2019-11-12,8729.89,8889.06,8552.12,8817.0,107520.54599999075,53715.53899998976,206517,105478.0,,,,,,,,,,,,,,,,-89.46800001122756,91687.95700046766,4439.0,60351.0,,
2019-11-13,8817.94,8838.0,8712.0,8774.76,58585.810999985195,28973.71300000252,120382,59461.0,,,,,,,,,,,,,,,,-638.3849999801532,91049.5720004875,-1460.0,58891.0,,
2019-11-14,8774.78,8798.06,8581.39,8642.25,87099.99499998809,42551.67899999434,157349,77657.0,,,,,,,,,,,,,,,,-1996.6369999994058,89052.9350004881,-2035.0,56856.0,,
2019-11-15,8642.47,8780.0,8380.0,8473.27,144051.19600002852,70022.31499998525,263575,130170.0,,,,,,,,,,,,,,,,-4006.5660000580247,85046.36900043007,-3235.0,53621.0,,
2019-11-16,8473.3,8540.54,8435.0,8491.06,48657.03999998166,24188.91300000228,115890,57104.0,,,,,,,,,,,,,,,,-279.2139999770952,84767.15500045297,-1682.0,51939.0,,
2019-11-17,8491.18,8631.0,8355.78,8504.04,72152.26599998042,35856.74099999868,157272,80862.0,,,,,,,,,,,,,,,,-438.7839999830612,84328.37100046991,4452.0,56391.0,,
2019-11-18,8504.13,8504.71,8050.0,8183.26,123477.14199999713,57762.94099998027,262708,127153.0,,,,,,,,,,,,,,,,-7951.260000036586,76377.11100043333,-8402.0,47989.0,,
2019-11-19,8183.3,8212.87,8000.0,8131.7,110854.02999999419,55317.76799998942,213097,105049.0,,,,,,,,,,,,,,,,-218.49400001535832,76158.61700041797,-2999.0,44990.0,,
2019-11-20,8131.12,8230.0,8037.5,8094.05,87317.63100000529,42898.81699999533,172277,85161.0,,,,,,,,,,,,,,,,-1519.9970000146277,74638.62000040335,-1955.0,43035.0,,
2019-11-21,8094.57,8131.51,7432.0,7621.9,180164.09899999708,85593.41300002002,308532,152674.0,,,,,,,,,,,,,,,,-8977.27299995703,65661.34700044632,-3184.0,39851.0,,
2019-11-22,7621.89,7765.03,6762.73,7262.72,370306.0719998197,181599.82100003262,764531,375892.0,,,,,,,,,,,,,,,,-7106.429999754473,58554.91700069184,-12747.0,27104.0,,
2019-11-23,7261.89,7345.84,7073.38,7305.99,139643.31099996538,69436.26599999088,288195,143146.0,,,,,,,,,,,,,,,,-770.7789999836241,57784.13800070822,-1903.0,25201.0,,
2019-11-24,7306.19,7324.92,6855.91,6900.86,183676.07799991374,90242.1750000034,373315,185895.0,,,,,,,,,,,,,,,,-3191.727999906958,54592.41000080126,-1525.0,23676.0,,
2019-11-25,6899.77,7386.29,6510.19,7102.03,333987.89099979546,166657.7529999408,670374,332110.0,,,,,,,,,,,,,,,,-672.384999913862,53920.0250008874,-6154.0,17522.0,,
2019-11-26,7103.34,7340.06,7011.9,7150.0,193962.09399985583,96641.34499998482,371521,185723.0,,,,,,,,,,,,,,,,-679.4039998861845,53240.621001001215,-75.0,17447.0,,
2019-11-27,7149.97,7669.2,6850.0,7506.77,297842.99399975303,150498.2889999771,555422,280396.0,,,,,,,,,,,,,,,,3153.5840002011973,56394.20500120241,5370.0,22817.0,,
2019-11-28,7506.78,7643.0,7356.0,7415.79,175000.60899995491,86015.12099999288,310363,153501.0,,,,,,,,,,,,,,,,-2970.3669999691483,53423.838001233264,-3361.0,19456.0,,
2019-11-29,7417.0,7850.0,7394.57,7736.66,185819.18599992146,93865.64899999503,330633,164845.0,,,,,,,,,,,,,,,,1912.1120000685914,55335.950001301855,-943.0,18513.0,,
2019-11-30,7737.23,7800.0,7444.18,7542.93,141966.39199999778,68012.80299998503,250412,125349.0,,,,,,,,,,,,,,,,-5940.786000027729,49395.164001274126,286.0,18799.0,,
